start,end,time,year
49020,55964,1953-03-01,1953
49020,33222,1953-03-01,1953
41639,55964,1953-03-01,1953
6532,39662,1953-03-01,1953
6532,110281,1953-03-01,1953
23892,110281,1953-03-01,1953
16457,33222,1953-03-01,1953
16457,49020,1953-03-01,1953
16457,58380,1955-03-01,1955
53348,16457,1953-03-01,1953
33495,38188,1953-03-01,1953
33495,38188,1954-03-01,1954
33495,44322,1954-03-01,1954
33495,39739,1955-03-01,1955
33495,27439,1955-03-01,1955
41720,33495,1953-03-01,1953
31034,19109,1953-03-01,1953
31034,55746,1954-03-01,1954
31034,39895,1955-03-01,1955
31034,55746,1955-03-01,1955
65075,33222,1953-03-01,1953
65075,49020,1953-03-01,1953
20881,39662,1953-03-01,1953
20881,6532,1953-03-01,1953
39954,31034,1953-03-01,1953
2727,83816,1953-03-01,1953
12796,13378,1953-03-01,1953
86264,12796,1953-03-01,1953
86264,55746,1955-03-01,1955
92610,83816,1953-03-01,1953
92610,13378,1953-03-01,1953
64473,92610,1953-03-01,1953
32555,2727,1953-03-01,1953
32555,35304,1953-03-01,1953
41718,32555,1953-03-01,1953
47186,32555,1953-03-01,1953
33339,2727,1953-03-01,1953
33339,92610,1953-03-01,1953
20955,45282,1953-03-01,1953
28757,20955,1953-03-01,1953
28757,32596,1953-03-01,1953
28757,11951,1954-03-01,1954
90996,28757,1953-03-01,1953
90996,43536,1955-03-01,1955
70522,45282,1953-03-01,1953
70522,88049,1953-03-01,1953
101692,43536,1953-03-01,1953
101692,11951,1954-03-01,1954
101692,55583,1954-03-01,1954
12829,101692,1953-03-01,1953
44310,32596,1953-03-01,1953
44310,77935,1954-03-01,1954
71985,78482,1953-03-01,1953
88049,20955,1953-03-01,1953
88049,43536,1953-03-01,1953
88049,2020,1958-03-01,1958
88049,13087,1959-03-01,1959
88049,110200,1959-03-01,1959
3727,32596,1953-03-01,1953
3727,55583,1954-03-01,1954
3727,31483,1954-03-01,1954
3727,101692,1954-03-01,1954
35804,41496,1953-03-01,1953
46973,35804,1953-03-01,1953
46973,41496,1953-03-01,1953
46973,64939,1954-03-01,1954
47120,46973,1953-03-01,1953
35288,27590,1953-03-01,1953
35288,35804,1953-03-01,1953
32446,35288,1953-03-01,1953
44950,46973,1953-03-01,1953
111158,44950,1953-03-01,1953
111158,47204,1957-03-01,1957
11332,35288,1953-03-01,1953
105733,27590,1953-03-01,1953
105733,46973,1953-03-01,1953
103485,45320,1954-03-01,1954
47093,103485,1954-03-01,1954
47093,20653,1954-03-01,1954
47093,42073,1955-03-01,1955
29095,103485,1954-03-01,1954
29095,103485,1955-03-01,1955
29095,32468,1956-03-01,1956
29095,11787,1956-03-01,1956
74137,29095,1954-03-01,1954
74137,29531,1956-03-01,1956
11365,105988,1954-03-01,1954
